# Jiukong first-party phrase lexicon. See README.md.
測試	ㄘㄜˋ ㄕˋ
個人帳號	ㄍㄜˋ ㄖㄣˊ ㄓㄤˋ ㄏㄠˋ
使用者名稱	ㄕˇ ㄩㄥˋ ㄓㄜˇ ㄇㄧㄥˊ ㄔㄥ
登入密碼	ㄉㄥ ㄖㄨˋ ㄇㄧˋ ㄇㄚˇ
驗證碼	ㄧㄢˋ ㄓㄥˋ ㄇㄚˇ
二階段驗證	ㄦˋ ㄐㄧㄝ ㄉㄨㄢˋ ㄧㄢˋ ㄓㄥˋ
身分驗證	ㄕㄣ ㄈㄣˋ ㄧㄢˋ ㄓㄥˋ
系統設定	ㄒㄧˋ ㄊㄨㄥˇ ㄕㄜˋ ㄉㄧㄥˋ
軟體更新	ㄖㄨㄢˇ ㄊㄧˇ ㄍㄥ ㄒㄧㄣ
自動更新	ㄗˋ ㄉㄨㄥˋ ㄍㄥ ㄒㄧㄣ
安裝程式	ㄢ ㄓㄨㄤ ㄔㄥˊ ㄕˋ
解除安裝	ㄐㄧㄝˇ ㄔㄨˊ ㄢ ㄓㄨㄤ
重新安裝	ㄔㄨㄥˊ ㄒㄧㄣ ㄢ ㄓㄨㄤ
開機	ㄎㄞ ㄐㄧ
關機	ㄍㄨㄢ ㄐㄧ
當機	ㄉㄤˋ ㄐㄧ
重開機	ㄔㄨㄥˊ ㄎㄞ ㄐㄧ
執行程式	ㄓˊ ㄒㄧㄥˊ ㄔㄥˊ ㄕˋ
啟用	ㄑㄧˇ ㄩㄥˋ
停用	ㄊㄧㄥˊ ㄩㄥˋ
開啟功能	ㄎㄞ ㄑㄧˇ ㄍㄨㄥ ㄋㄥˊ
關閉功能	ㄍㄨㄢ ㄅㄧˋ ㄍㄨㄥ ㄋㄥˊ
操作介面	ㄘㄠ ㄗㄨㄛˋ ㄐㄧㄝˋ ㄇㄧㄢˋ
使用者介面	ㄕˇ ㄩㄥˋ ㄓㄜˇ ㄐㄧㄝˋ ㄇㄧㄢˋ
圖形介面	ㄊㄨˊ ㄒㄧㄥˊ ㄐㄧㄝˋ ㄇㄧㄢˋ
工具列	ㄍㄨㄥ ㄐㄩˋ ㄌㄧㄝˋ
狀態列	ㄓㄨㄤˋ ㄊㄞˋ ㄌㄧㄝˋ
選項	ㄒㄩㄢˇ ㄒㄧㄤˋ
清單	ㄑㄧㄥ ㄉㄢ
對話框	ㄉㄨㄟˋ ㄏㄨㄚˋ ㄎㄨㄤˋ
通知中心	ㄊㄨㄥ ㄓ ㄓㄨㄥ ㄒㄧㄣ
控制中心	ㄎㄨㄥˋ ㄓˋ ㄓㄨㄥ ㄒㄧㄣ
桌面	ㄓㄨㄛ ㄇㄧㄢˋ
檔案格式	ㄉㄤˇ ㄢˋ ㄍㄜˊ ㄕˋ
文件格式	ㄨㄣˊ ㄐㄧㄢˋ ㄍㄜˊ ㄕˋ
文字檔	ㄨㄣˊ ㄗˋ ㄉㄤˇ
圖片檔	ㄊㄨˊ ㄆㄧㄢˋ ㄉㄤˇ
音訊檔	ㄧㄣ ㄒㄩㄣˋ ㄉㄤˇ
影片檔	ㄧㄥˇ ㄆㄧㄢˋ ㄉㄤˇ
壓縮檔	ㄧㄚ ㄙㄨㄛ ㄉㄤˇ
檔案大小	ㄉㄤˇ ㄢˋ ㄉㄚˋ ㄒㄧㄠˇ
儲存空間	ㄔㄨˊ ㄘㄨㄣˊ ㄎㄨㄥ ㄐㄧㄢ
硬碟	ㄧㄥˋ ㄉㄧㄝˊ
隨身碟	ㄙㄨㄟˊ ㄕㄣ ㄉㄧㄝˊ
記憶卡	ㄐㄧˋ ㄧˋ ㄎㄚˇ
裝置	ㄓㄨㄤ ㄓˋ
連接	ㄌㄧㄢˊ ㄐㄧㄝ
網路設定	ㄨㄤˇ ㄌㄨˋ ㄕㄜˋ ㄉㄧㄥˋ
無線網路	ㄨˊ ㄒㄧㄢˋ ㄨㄤˇ ㄌㄨˋ
行動網路	ㄒㄧㄥˊ ㄉㄨㄥˋ ㄨㄤˇ ㄌㄨˋ
藍牙	ㄌㄢˊ ㄧㄚˊ
行動熱點	ㄒㄧㄥˊ ㄉㄨㄥˋ ㄖㄜˋ ㄉㄧㄢˇ
訊號強度	ㄒㄩㄣˋ ㄏㄠˋ ㄑㄧㄤˊ ㄉㄨˋ
密碼錯誤	ㄇㄧˋ ㄇㄚˇ ㄘㄨㄛˋ ㄨˋ
登入失敗	ㄉㄥ ㄖㄨˋ ㄕ ㄅㄞˋ
連線失敗	ㄌㄧㄢˊ ㄒㄧㄢˋ ㄕ ㄅㄞˋ
下載完成	ㄒㄧㄚˋ ㄗㄞˇ ㄨㄢˊ ㄔㄥˊ
上傳完成	ㄕㄤˋ ㄔㄨㄢˊ ㄨㄢˊ ㄔㄥˊ
安裝完成	ㄢ ㄓㄨㄤ ㄨㄢˊ ㄔㄥˊ
更新完成	ㄍㄥ ㄒㄧㄣ ㄨㄢˊ ㄔㄥˊ
儲存成功	ㄔㄨˊ ㄘㄨㄣˊ ㄔㄥˊ ㄍㄨㄥ
刪除成功	ㄕㄢ ㄔㄨˊ ㄔㄥˊ ㄍㄨㄥ
複製成功	ㄈㄨˋ ㄓˋ ㄔㄥˊ ㄍㄨㄥ
輸入模式	ㄕㄨ ㄖㄨˋ ㄇㄛˊ ㄕˋ
中文模式	ㄓㄨㄥ ㄨㄣˊ ㄇㄛˊ ㄕˋ
英文模式	ㄧㄥ ㄨㄣˊ ㄇㄛˊ ㄕˋ
中英文切換	ㄓㄨㄥ ㄧㄥ ㄨㄣˊ ㄑㄧㄝ ㄏㄨㄢˋ
注音鍵盤	ㄓㄨˋ ㄧㄣ ㄐㄧㄢˋ ㄆㄢˊ
拼音輸入	ㄆㄧㄣ ㄧㄣ ㄕㄨ ㄖㄨˋ
倉頡輸入	ㄘㄤ ㄐㄧㄝˊ ㄕㄨ ㄖㄨˋ
手寫輸入	ㄕㄡˇ ㄒㄧㄝˇ ㄕㄨ ㄖㄨˋ
語音輸入	ㄩˇ ㄧㄣ ㄕㄨ ㄖㄨˋ
預測文字	ㄩˋ ㄘㄜˋ ㄨㄣˊ ㄗˋ
自動選字	ㄗˋ ㄉㄨㄥˋ ㄒㄩㄢˇ ㄗˋ
人工選字	ㄖㄣˊ ㄍㄨㄥ ㄒㄩㄢˇ ㄗˋ
選字視窗	ㄒㄩㄢˇ ㄗˋ ㄕˋ ㄔㄨㄤ
候選視窗	ㄏㄡˋ ㄒㄩㄢˇ ㄕˋ ㄔㄨㄤ
候選清單	ㄏㄡˋ ㄒㄩㄢˇ ㄑㄧㄥ ㄉㄢ
候選順序	ㄏㄡˋ ㄒㄩㄢˇ ㄕㄨㄣˋ ㄒㄩˋ
游標位置	ㄧㄡˊ ㄅㄧㄠ ㄨㄟˋ ㄓˋ
文字選取	ㄨㄣˊ ㄗˋ ㄒㄩㄢˇ ㄑㄩˇ
選取文字	ㄒㄩㄢˇ ㄑㄩˇ ㄨㄣˊ ㄗˋ
刪除文字	ㄕㄢ ㄔㄨˊ ㄨㄣˊ ㄗˋ
插入文字	ㄔㄚ ㄖㄨˋ ㄨㄣˊ ㄗˋ
輸入文字	ㄕㄨ ㄖㄨˋ ㄨㄣˊ ㄗˋ
編輯文字	ㄅㄧㄢ ㄐㄧˊ ㄨㄣˊ ㄗˋ
送出文字	ㄙㄨㄥˋ ㄔㄨ ㄨㄣˊ ㄗˋ
組字	ㄗㄨˇ ㄗˋ
組字區	ㄗㄨˇ ㄗˋ ㄑㄩ
注音組合	ㄓㄨˋ ㄧㄣ ㄗㄨˇ ㄏㄜˊ
聲母	ㄕㄥ ㄇㄨˇ
韻母	ㄩㄣˋ ㄇㄨˇ
聲調	ㄕㄥ ㄉㄧㄠˋ
第一聲	ㄉㄧˋ ㄧ ㄕㄥ
第二聲	ㄉㄧˋ ㄦˋ ㄕㄥ
第三聲	ㄉㄧˋ ㄙㄢ ㄕㄥ
第四聲	ㄉㄧˋ ㄙˋ ㄕㄥ
輕聲	ㄑㄧㄥ ㄕㄥ
同音字	ㄊㄨㄥˊ ㄧㄣ ㄗˋ
同音詞	ㄊㄨㄥˊ ㄧㄣ ㄘˊ
破音字	ㄆㄛˋ ㄧㄣ ㄗˋ
常用字	ㄔㄤˊ ㄩㄥˋ ㄗˋ
生僻字	ㄕㄥ ㄆㄧˋ ㄗˋ
缺字	ㄑㄩㄝ ㄗˋ
字形	ㄗˋ ㄒㄧㄥˊ
字碼	ㄗˋ ㄇㄚˇ
編碼	ㄅㄧㄢ ㄇㄚˇ
萬國碼	ㄨㄢˋ ㄍㄨㄛˊ ㄇㄚˇ
正體字	ㄓㄥˋ ㄊㄧˇ ㄗˋ
繁體字	ㄈㄢˊ ㄊㄧˇ ㄗˋ
簡體字	ㄐㄧㄢˇ ㄊㄧˇ ㄗˋ
異體字	ㄧˋ ㄊㄧˇ ㄗˋ

# Health, medical care, weather, and the natural environment.
身體	ㄕㄣ ㄊㄧˇ
醫療	ㄧ ㄌㄧㄠˊ
醫師	ㄧ ㄕ
病人	ㄅㄧㄥˋ ㄖㄣˊ
症狀	ㄓㄥˋ ㄓㄨㄤˋ
疼痛	ㄊㄥˊ ㄊㄨㄥˋ
咳嗽	ㄎㄜˊ ㄙㄡˋ
流鼻水	ㄌㄧㄡˊ ㄅㄧˊ ㄕㄨㄟˇ
喉嚨痛	ㄏㄡˊ ㄌㄨㄥˊ ㄊㄨㄥˋ
牙痛	ㄧㄚˊ ㄊㄨㄥˋ
胃痛	ㄨㄟˋ ㄊㄨㄥˋ
胸痛	ㄒㄩㄥ ㄊㄨㄥˋ
腰痛	ㄧㄠ ㄊㄨㄥˋ
背痛	ㄅㄟˋ ㄊㄨㄥˋ
肌肉痠痛	ㄐㄧ ㄖㄡˋ ㄙㄨㄢ ㄊㄨㄥˋ
頭暈	ㄊㄡˊ ㄩㄣ
噁心	ㄜˇ ㄒㄧㄣ
嘔吐	ㄡˇ ㄊㄨˋ
拉肚子	ㄌㄚ ㄉㄨˋ ˙ㄗ
腹瀉	ㄈㄨˋ ㄒㄧㄝˋ
便祕	ㄅㄧㄢˋ ㄅㄧˋ
過敏	ㄍㄨㄛˋ ㄇㄧㄣˇ
受傷	ㄕㄡˋ ㄕㄤ
流血	ㄌㄧㄡˊ ㄒㄧㄝˇ
傷口	ㄕㄤ ㄎㄡˇ
發炎	ㄈㄚ ㄧㄢˊ
感染	ㄍㄢˇ ㄖㄢˇ
病毒	ㄅㄧㄥˋ ㄉㄨˊ
細菌	ㄒㄧˋ ㄐㄩㄣˋ
疫苗	ㄧˋ ㄇㄧㄠˊ
打針	ㄉㄚˇ ㄓㄣ
看診	ㄎㄢˋ ㄓㄣˇ
掛號	ㄍㄨㄚˋ ㄏㄠˋ
急診	ㄐㄧˊ ㄓㄣˇ
住院	ㄓㄨˋ ㄩㄢˋ
出院	ㄔㄨ ㄩㄢˋ
手術	ㄕㄡˇ ㄕㄨˋ
健康檢查	ㄐㄧㄢˋ ㄎㄤ ㄐㄧㄢˇ ㄔㄚˊ
體溫	ㄊㄧˇ ㄨㄣ
血壓	ㄒㄧㄝˇ ㄧㄚ
心跳	ㄒㄧㄣ ㄊㄧㄠˋ
脈搏	ㄇㄞˋ ㄅㄛˊ
藥物	ㄧㄠˋ ㄨˋ
藥局	ㄧㄠˋ ㄐㄩˊ
藥師	ㄧㄠˋ ㄕ
處方	ㄔㄨˇ ㄈㄤ
處方箋	ㄔㄨˇ ㄈㄤ ㄐㄧㄢ
吃藥時間	ㄔ ㄧㄠˋ ㄕˊ ㄐㄧㄢ
飯前	ㄈㄢˋ ㄑㄧㄢˊ
飯後	ㄈㄢˋ ㄏㄡˋ
休息一下	ㄒㄧㄡ ㄒㄧˊ ㄧ ㄒㄧㄚˋ
早睡	ㄗㄠˇ ㄕㄨㄟˋ
多喝水	ㄉㄨㄛ ㄏㄜ ㄕㄨㄟˇ
保持健康	ㄅㄠˇ ㄔˊ ㄐㄧㄢˋ ㄎㄤ
注意安全	ㄓㄨˋ ㄧˋ ㄢ ㄑㄩㄢˊ
陽光	ㄧㄤˊ ㄍㄨㄤ
多雲	ㄉㄨㄛ ㄩㄣˊ
雷雨	ㄌㄟˊ ㄩˇ
大雨	ㄉㄚˋ ㄩˇ
小雨	ㄒㄧㄠˇ ㄩˇ
豪雨	ㄏㄠˊ ㄩˇ
雷聲	ㄌㄟˊ ㄕㄥ
閃電	ㄕㄢˇ ㄉㄧㄢˋ
彩虹	ㄘㄞˇ ㄏㄨㄥˊ
風景	ㄈㄥ ㄐㄧㄥˇ
空氣	ㄎㄨㄥ ㄑㄧˋ
空氣品質	ㄎㄨㄥ ㄑㄧˋ ㄆㄧㄣˇ ㄓˊ
濕度	ㄕ ㄉㄨˋ
氣溫	ㄑㄧˋ ㄨㄣ
天氣預報	ㄊㄧㄢ ㄑㄧˋ ㄩˋ ㄅㄠˋ
高溫	ㄍㄠ ㄨㄣ
低溫	ㄉㄧ ㄨㄣ
冷氣團	ㄌㄥˇ ㄑㄧˋ ㄊㄨㄢˊ
東北季風	ㄉㄨㄥ ㄅㄟˇ ㄐㄧˋ ㄈㄥ
氣候	ㄑㄧˋ ㄏㄡˋ
季節	ㄐㄧˋ ㄐㄧㄝˊ
自然	ㄗˋ ㄖㄢˊ
環境	ㄏㄨㄢˊ ㄐㄧㄥˋ
地球	ㄉㄧˋ ㄑㄧㄡˊ
海洋	ㄏㄞˇ ㄧㄤˊ
河流	ㄏㄜˊ ㄌㄧㄡˊ
湖泊	ㄏㄨˊ ㄅㄛˊ
山區	ㄕㄢ ㄑㄩ
森林	ㄙㄣ ㄌㄧㄣˊ
植物	ㄓˊ ㄨˋ
動物	ㄉㄨㄥˋ ㄨˋ
寵物	ㄔㄨㄥˇ ㄨˋ
狗狗	ㄍㄡˇ ㄍㄡˇ
貓咪	ㄇㄠ ㄇㄧ
環境保護	ㄏㄨㄢˊ ㄐㄧㄥˋ ㄅㄠˇ ㄏㄨˋ
資源回收	ㄗ ㄩㄢˊ ㄏㄨㄟˊ ㄕㄡ
節約能源	ㄐㄧㄝˊ ㄩㄝ ㄋㄥˊ ㄩㄢˊ

# Public life, news, rules, and general abstract concepts.
法律	ㄈㄚˇ ㄌㄩˋ
規定	ㄍㄨㄟ ㄉㄧㄥˋ
政策	ㄓㄥˋ ㄘㄜˋ
制度	ㄓˋ ㄉㄨˋ
標準	ㄅㄧㄠ ㄓㄨㄣˇ
原則	ㄩㄢˊ ㄗㄜˊ
條件	ㄊㄧㄠˊ ㄐㄧㄢˋ
資格	ㄗ ㄍㄜˊ
權利	ㄑㄩㄢˊ ㄌㄧˋ
義務	ㄧˋ ㄨˋ
範圍	ㄈㄢˋ ㄨㄟˊ
程度	ㄔㄥˊ ㄉㄨˋ
形式	ㄒㄧㄥˊ ㄕˋ
種類	ㄓㄨㄥˇ ㄌㄟˋ
類型	ㄌㄟˋ ㄒㄧㄥˊ
特色	ㄊㄜˋ ㄙㄜˋ
特點	ㄊㄜˋ ㄉㄧㄢˇ
差異	ㄔㄚ ㄧˋ
影響	ㄧㄥˇ ㄒㄧㄤˇ
效果	ㄒㄧㄠˋ ㄍㄨㄛˇ
好處	ㄏㄠˇ ㄔㄨˋ
缺點	ㄑㄩㄝ ㄉㄧㄢˇ
優點	ㄧㄡ ㄉㄧㄢˇ
風險	ㄈㄥ ㄒㄧㄢˇ
成本	ㄔㄥˊ ㄅㄣˇ
價值	ㄐㄧㄚˋ ㄓˊ
意義	ㄧˋ ㄧˋ
觀點	ㄍㄨㄢ ㄉㄧㄢˇ
立場	ㄌㄧˋ ㄔㄤˇ
事實	ㄕˋ ㄕˊ
資訊	ㄗ ㄒㄩㄣˋ
消息	ㄒㄧㄠ ㄒㄧˊ
現象	ㄒㄧㄢˋ ㄒㄧㄤˋ
背景	ㄅㄟˋ ㄐㄧㄥˇ
細節	ㄒㄧˋ ㄐㄧㄝˊ
重點	ㄓㄨㄥˋ ㄉㄧㄢˇ
主題	ㄓㄨˇ ㄊㄧˊ
方向性	ㄈㄤ ㄒㄧㄤˋ ㄒㄧㄥˋ
可能性	ㄎㄜˇ ㄋㄥˊ ㄒㄧㄥˋ
必要性	ㄅㄧˋ ㄧㄠˋ ㄒㄧㄥˋ
可行性	ㄎㄜˇ ㄒㄧㄥˊ ㄒㄧㄥˋ
相關	ㄒㄧㄤ ㄍㄨㄢ
無關	ㄨˊ ㄍㄨㄢ
包括	ㄅㄠ ㄎㄨㄛˋ
包含	ㄅㄠ ㄏㄢˊ
代表	ㄉㄞˋ ㄅㄧㄠˇ
表示	ㄅㄧㄠˇ ㄕˋ
提供	ㄊㄧˊ ㄍㄨㄥ
接受	ㄐㄧㄝ ㄕㄡˋ
拒絕	ㄐㄩˋ ㄐㄩㄝˊ
支持	ㄓ ㄔˊ
反對	ㄈㄢˇ ㄉㄨㄟˋ
要求	ㄧㄠ ㄑㄧㄡˊ
允許	ㄩㄣˇ ㄒㄩˇ
禁止	ㄐㄧㄣˋ ㄓˇ
遵守	ㄗㄨㄣ ㄕㄡˇ
保護	ㄅㄠˇ ㄏㄨˋ
保障	ㄅㄠˇ ㄓㄤˋ
避免	ㄅㄧˋ ㄇㄧㄢˇ
預防	ㄩˋ ㄈㄤˊ
發展	ㄈㄚ ㄓㄢˇ
變化	ㄅㄧㄢˋ ㄏㄨㄚˋ
進步	ㄐㄧㄣˋ ㄅㄨˋ
退步	ㄊㄨㄟˋ ㄅㄨˋ
建立關係	ㄐㄧㄢˋ ㄌㄧˋ ㄍㄨㄢ ㄒㄧˋ
解決問題	ㄐㄧㄝˇ ㄐㄩㄝˊ ㄨㄣˋ ㄊㄧˊ
提出問題	ㄊㄧˊ ㄔㄨ ㄨㄣˋ ㄊㄧˊ
提出建議	ㄊㄧˊ ㄔㄨ ㄐㄧㄢˋ ㄧˋ
作出決定	ㄗㄨㄛˋ ㄔㄨ ㄐㄩㄝˊ ㄉㄧㄥˋ
達成目標	ㄉㄚˊ ㄔㄥˊ ㄇㄨˋ ㄅㄧㄠ
取得成果	ㄑㄩˇ ㄉㄜˊ ㄔㄥˊ ㄍㄨㄛˇ
提高效率	ㄊㄧˊ ㄍㄠ ㄒㄧㄠˋ ㄌㄩˋ
降低成本	ㄐㄧㄤˋ ㄉㄧ ㄔㄥˊ ㄅㄣˇ
確保安全	ㄑㄩㄝˋ ㄅㄠˇ ㄢ ㄑㄩㄢˊ
品質管理	ㄆㄧㄣˇ ㄓˊ ㄍㄨㄢˇ ㄌㄧˇ
公共服務	ㄍㄨㄥ ㄍㄨㄥˋ ㄈㄨˊ ㄨˋ
社會福利	ㄕㄜˋ ㄏㄨㄟˋ ㄈㄨˊ ㄌㄧˋ
公共安全	ㄍㄨㄥ ㄍㄨㄥˋ ㄢ ㄑㄩㄢˊ
交通安全	ㄐㄧㄠ ㄊㄨㄥ ㄢ ㄑㄩㄢˊ
食品安全	ㄕˊ ㄆㄧㄣˇ ㄢ ㄑㄩㄢˊ
個人安全	ㄍㄜˋ ㄖㄣˊ ㄢ ㄑㄩㄢˊ

# Frequent requests, replies, and task-status phrases.
說明一下	ㄕㄨㄛ ㄇㄧㄥˊ ㄧ ㄒㄧㄚˋ
看一下	ㄎㄢˋ ㄧ ㄒㄧㄚˋ
聽一下	ㄊㄧㄥ ㄧ ㄒㄧㄚˋ
想一下	ㄒㄧㄤˇ ㄧ ㄒㄧㄚˋ
試一下	ㄕˋ ㄧ ㄒㄧㄚˋ
做一下	ㄗㄨㄛˋ ㄧ ㄒㄧㄚˋ
查一下	ㄔㄚˊ ㄧ ㄒㄧㄚˋ
確認一下	ㄑㄩㄝˋ ㄖㄣˋ ㄧ ㄒㄧㄚˋ
幫我看看	ㄅㄤ ㄨㄛˇ ㄎㄢˋ ㄎㄢˋ
幫我確認	ㄅㄤ ㄨㄛˇ ㄑㄩㄝˋ ㄖㄣˋ
麻煩確認	ㄇㄚˊ ㄈㄢˊ ㄑㄩㄝˋ ㄖㄣˋ
麻煩處理	ㄇㄚˊ ㄈㄢˊ ㄔㄨˇ ㄌㄧˇ
請告訴我	ㄑㄧㄥˇ ㄍㄠˋ ㄙㄨˋ ㄨㄛˇ
請聯絡我	ㄑㄧㄥˇ ㄌㄧㄢˊ ㄌㄨㄛˋ ㄨㄛˇ
請回覆	ㄑㄧㄥˇ ㄏㄨㄟˊ ㄈㄨˋ
請提供	ㄑㄧㄥˇ ㄊㄧˊ ㄍㄨㄥ
請選擇	ㄑㄧㄥˇ ㄒㄩㄢˇ ㄗㄜˊ
請輸入	ㄑㄧㄥˇ ㄕㄨ ㄖㄨˋ
請按下	ㄑㄧㄥˇ ㄢˋ ㄒㄧㄚˋ
請開啟	ㄑㄧㄥˇ ㄎㄞ ㄑㄧˇ
請關閉	ㄑㄧㄥˇ ㄍㄨㄢ ㄅㄧˋ
請重新輸入	ㄑㄧㄥˇ ㄔㄨㄥˊ ㄒㄧㄣ ㄕㄨ ㄖㄨˋ
請重新啟動	ㄑㄧㄥˇ ㄔㄨㄥˊ ㄒㄧㄣ ㄑㄧˇ ㄉㄨㄥˋ
已收到	ㄧˇ ㄕㄡ ㄉㄠˋ
尚未收到	ㄕㄤˋ ㄨㄟˋ ㄕㄡ ㄉㄠˋ
稍後回覆	ㄕㄠ ㄏㄡˋ ㄏㄨㄟˊ ㄈㄨˋ
馬上處理	ㄇㄚˇ ㄕㄤˋ ㄔㄨˇ ㄌㄧˇ
正在處理	ㄓㄥˋ ㄗㄞˋ ㄔㄨˇ ㄌㄧˇ
處理完成	ㄔㄨˇ ㄌㄧˇ ㄨㄢˊ ㄔㄥˊ
正在下載	ㄓㄥˋ ㄗㄞˋ ㄒㄧㄚˋ ㄗㄞˇ
正在上傳	ㄓㄥˋ ㄗㄞˋ ㄕㄤˋ ㄔㄨㄢˊ
下載失敗	ㄒㄧㄚˋ ㄗㄞˇ ㄕ ㄅㄞˋ
上傳失敗	ㄕㄤˋ ㄔㄨㄢˊ ㄕ ㄅㄞˋ
請稍等	ㄑㄧㄥˇ ㄕㄠ ㄉㄥˇ
很抱歉	ㄏㄣˇ ㄅㄠˋ ㄑㄧㄢˋ
真不好意思	ㄓㄣ ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ
非常感謝	ㄈㄟ ㄔㄤˊ ㄍㄢˇ ㄒㄧㄝˋ
謝謝你的幫忙	ㄒㄧㄝˋ ㄒㄧㄝˋ ㄋㄧˇ ˙ㄉㄜ ㄅㄤ ㄇㄤˊ
感謝您的協助	ㄍㄢˇ ㄒㄧㄝˋ ㄋㄧㄣˊ ˙ㄉㄜ ㄒㄧㄝˊ ㄓㄨˋ
沒關係的	ㄇㄟˊ ㄍㄨㄢ ㄒㄧˋ ˙ㄉㄜ
沒問題的	ㄇㄟˊ ㄨㄣˋ ㄊㄧˊ ˙ㄉㄜ
這樣就好	ㄓㄜˋ ㄧㄤˋ ㄐㄧㄡˋ ㄏㄠˇ
這樣可以	ㄓㄜˋ ㄧㄤˋ ㄎㄜˇ ㄧˇ
這樣不行	ㄓㄜˋ ㄧㄤˋ ㄅㄨˋ ㄒㄧㄥˊ
這樣嗎	ㄓㄜˋ ㄧㄤˋ ˙ㄇㄚ
那就好	ㄋㄚˋ ㄐㄧㄡˋ ㄏㄠˇ
那就這樣	ㄋㄚˋ ㄐㄧㄡˋ ㄓㄜˋ ㄧㄤˋ
就這樣吧	ㄐㄧㄡˋ ㄓㄜˋ ㄧㄤˋ ˙ㄅㄚ
原來如此	ㄩㄢˊ ㄌㄞˊ ㄖㄨˊ ㄘˇ
果然如此	ㄍㄨㄛˇ ㄖㄢˊ ㄖㄨˊ ㄘˇ
真的很好	ㄓㄣ ˙ㄉㄜ ㄏㄣˇ ㄏㄠˇ
太好了	ㄊㄞˋ ㄏㄠˇ ˙ㄌㄜ
太可惜了	ㄊㄞˋ ㄎㄜˇ ㄒㄧˊ ˙ㄌㄜ
太棒了	ㄊㄞˋ ㄅㄤˋ ˙ㄌㄜ
不太好	ㄅㄨˋ ㄊㄞˋ ㄏㄠˇ
不太確定	ㄅㄨˋ ㄊㄞˋ ㄑㄩㄝˋ ㄉㄧㄥˋ
不太清楚	ㄅㄨˋ ㄊㄞˋ ㄑㄧㄥ ㄔㄨˇ
不太一樣	ㄅㄨˋ ㄊㄞˋ ㄧ ㄧㄤˋ
很有用	ㄏㄣˇ ㄧㄡˇ ㄩㄥˋ
很方便	ㄏㄣˇ ㄈㄤ ㄅㄧㄢˋ
很重要	ㄏㄣˇ ㄓㄨㄥˋ ㄧㄠˋ
很簡單	ㄏㄣˇ ㄐㄧㄢˇ ㄉㄢ
很困難	ㄏㄣˇ ㄎㄨㄣˋ ㄋㄢˊ
很清楚	ㄏㄣˇ ㄑㄧㄥ ㄔㄨˇ
很漂亮	ㄏㄣˇ ㄆㄧㄠˋ ㄌㄧㄤˋ
很開心	ㄏㄣˇ ㄎㄞ ㄒㄧㄣ
很擔心	ㄏㄣˇ ㄉㄢ ㄒㄧㄣ

# Common qualities, emotions, and evaluations.
正面	ㄓㄥˋ ㄇㄧㄢˋ
負面	ㄈㄨˋ ㄇㄧㄢˋ
積極	ㄐㄧ ㄐㄧˊ
消極	ㄒㄧㄠ ㄐㄧˊ
樂觀	ㄌㄜˋ ㄍㄨㄢ
悲觀	ㄅㄟ ㄍㄨㄢ
誠實	ㄔㄥˊ ㄕˊ
認真	ㄖㄣˋ ㄓㄣ
努力	ㄋㄨˇ ㄌㄧˋ
勇敢	ㄩㄥˇ ㄍㄢˇ
溫柔	ㄨㄣ ㄖㄡˊ
親切	ㄑㄧㄣ ㄑㄧㄝˋ
有趣	ㄧㄡˇ ㄑㄩˋ
無聊	ㄨˊ ㄌㄧㄠˊ
友善	ㄧㄡˇ ㄕㄢˋ
熟悉	ㄕㄡˊ ㄒㄧ
陌生	ㄇㄛˋ ㄕㄥ
清醒	ㄑㄧㄥ ㄒㄧㄥˇ
疲倦	ㄆㄧˊ ㄐㄩㄢˋ
忙碌	ㄇㄤˊ ㄌㄨˋ
空閒	ㄎㄨㄥˋ ㄒㄧㄢˊ
穩定	ㄨㄣˇ ㄉㄧㄥˋ
不穩定	ㄅㄨˋ ㄨㄣˇ ㄉㄧㄥˋ
不安全	ㄅㄨˋ ㄢ ㄑㄩㄢˊ
準確	ㄓㄨㄣˇ ㄑㄩㄝˋ
不準確	ㄅㄨˋ ㄓㄨㄣˇ ㄑㄩㄝˋ
詳細	ㄒㄧㄤˊ ㄒㄧˋ
簡略	ㄐㄧㄢˇ ㄌㄩㄝˋ
豐富	ㄈㄥ ㄈㄨˋ
有限	ㄧㄡˇ ㄒㄧㄢˋ
無限	ㄨˊ ㄒㄧㄢˋ
固定	ㄍㄨˋ ㄉㄧㄥˋ
臨時	ㄌㄧㄣˊ ㄕˊ
主動	ㄓㄨˇ ㄉㄨㄥˋ
被動	ㄅㄟˋ ㄉㄨㄥˋ
整齊	ㄓㄥˇ ㄑㄧˊ
混亂	ㄏㄨㄣˋ ㄌㄨㄢˋ
透明	ㄊㄡˋ ㄇㄧㄥˊ
公平	ㄍㄨㄥ ㄆㄧㄥˊ
公正	ㄍㄨㄥ ㄓㄥˋ
平等	ㄆㄧㄥˊ ㄉㄥˇ
合法	ㄏㄜˊ ㄈㄚˇ
違法	ㄨㄟˊ ㄈㄚˇ
可靠	ㄎㄜˇ ㄎㄠˋ
不可靠	ㄅㄨˋ ㄎㄜˇ ㄎㄠˋ
耐用	ㄋㄞˋ ㄩㄥˋ
實用	ㄕˊ ㄩㄥˋ
合適	ㄏㄜˊ ㄕˋ
適合	ㄕˋ ㄏㄜˊ
不適合	ㄅㄨˋ ㄕˋ ㄏㄜˊ
滿足	ㄇㄢˇ ㄗㄨˊ
